名称,ID,伤害,初始生命上限,子牌/母牌,战斗牌/法术牌,文字描述,注释
天平,27,15,15,子,战,被动：攻击力为当前生命值，第一次死亡后，会以2点生命复活,获得条件：卡牌“纽带”触发；复活：以一定血量重生，清除负面状态
大法师,28,7,10,子,战,主动：每击杀两张战斗牌，可使用一次：废除指定一张对方的出战牌的技能。特性：自带一层纯净,获得条件：卡牌“纽带”触发；纯净：技能永不失效
太阳花,29,5,5,子,战,主动:  将双方手牌集中打乱，以我方开始依次发放一张牌直到结束。,获得条件：我方击杀或献祭卡牌数量为4时，从弃牌堆中抽取一张战斗牌，判定血量是否否大于3，若大于3，获得此牌。判定结束后放回弃牌堆
苦口冰激凌,30,1,1,子,战,被动：上场时给予对方3层捆缚；主动：选择一名敌人与其交换现有数值；特性：在手牌中未出战时，敌方无法使用技能牌,获得条件：局内加入至手牌的法术牌数量是且仅是2时且其中一张牌进入弃牌堆;捆缚:无法使用角色攻击或技能，每回合减少一层
顺水推舟,31,5,5,子,战,被动：上场之后可以查看对方的手牌；被动：每回合吸取1血,获得条件：以一张出战的牌连续击杀3张牌
令行禁止,32,,,母,法,使用效果：选择对方的一张出战牌，给予10层捆缚,捆缚:无法使用角色攻击或技能，每回合减少一层
湮灭,33,,,母,法,使用效果：指定一张敌方出战牌处决,处决：无视所有效果秒杀
攻守易形,34,,,母,法,使用效果：交换双方出战的所有战斗卡，10回合后交换回来，如果被交换的战斗卡死亡，便不会返回,
回光返照,35,,,母,法,使用效果：回到十回合之前,
魂,36,1,5,母,战,被动：每次死亡扣除一点血量上限，然后恢复至满血,
多动症,37,1,4,母,战,被动：击杀敌方一张出战牌后，再攻击一次。（每使用此牌击杀一张敌方战斗卡，行动上多一次攻击次数）,
达达主义,38,1,6,母,战,主动：指定敌方一张出战牌获得6层缩小，我方所有卡牌获得6层巨化。可使用三次,巨化：生命值和攻击力翻倍，生命值超出上限的部分变成虚血。缩小：生命值和战斗力削减至一半
神经毒素,39,2,3,母,战,被动：击伤敌方一战战斗牌时，给予一层捆缚,捆缚:无法使用角色攻击或技能，每回合减少一层
耐性,40,1,10,母,战,被动：收到伤害减半,
西部世界,41,2,3,母,战,被动：击杀对方出战牌，自己的攻击力翻倍,
余辉,42,5,7,子,战,被动：死亡后仍存在5回合，不可下场。且攻击效果为处决,获得条件：卡牌“纽带”触发；处决：无视所有效果秒杀
月亮有多远,43,5,5,子,战,主动：废除场上所有人的法术卡加入弃牌堆，仅可使用一次。特性：死亡时可通过消耗一张战斗卡和法术卡复活。,获得条件：使用战斗卡技能击杀敌方三张战斗卡且被击杀的第三张敌方出战卡上限血量大于3
足智多谋,44,,,子,法,使用效果：选定己方手牌中一张牌交互敌方手牌中两张牌（一次），从弃牌堆中抽取五张卡牌从中挑选三张加入己方手牌。,获得条件：连续击杀三张敌方战斗卡，且未发动过卡牌技能和使用法术卡。
